Date,Open,High,Low,Close
3/15/21,277.52,283.00,206.00,220.14
3/12/21,275.00,295.50,262.27,264.50
3/11/21,241.64,281.50,232.60,260.00
3/10/21,269.43,348.50,172.00,265.00
3/9/21,217.71,249.85,208.51,246.90
3/8/21,154.89,210.87,146.10,194.50
3/5/21,128.17,151.53,127.50,137.74
3/4/21,125.00,147.87,115.30,132.35
3/3/21,122.51,127.75,113.12,124.18
3/2/21,116.93,133.20,112.20,118.18
3/1/21,104.54,133.99,99.97,120.40
2/26/21,117.46,142.90,86.00,101.74
2/25/21,169.56,184.68,101.00,108.73
2/24/21,44.70,91.71,44.70,91.71
2/23/21,44.97,46.23,40.00,44.97
2/22/21,46.69,48.51,42.40,46.00
2/19/21,41.28,43.89,38.50,40.59
2/18/21,48.49,48.87,40.65,40.69
2/17/21,49.77,51.19,44.56,45.94
2/16/21,52.66,53.50,49.04,49.51
2/12/21,50.75,55.24,48.05,52.40
2/11/21,50.01,55.32,48.22,51.10
2/10/21,50.77,62.83,46.55,51.20
2/9/21,56.61,57.00,46.52,50.31
2/8/21,72.41,72.66,58.02,60.00
2/5/21,54.04,95.00,51.09,63.77
2/4/21,91.19,91.50,53.33,53.50
2/3/21,112.01,113.40,85.25,92.41
2/2/21,140.76,158.00,74.22,90.00
2/1/21,316.56,322.00,212.00,225.00
1/29/21,379.71,413.98,250.00,325.00
1/28/21,265.00,483.00,112.25,193.60
1/27/21,354.83,380.00,249.00,347.51
1/26/21,88.56,150.00,80.20,147.98
1/25/21,96.73,159.18,61.13,76.79
1/22/21,42.59,76.76,42.32,65.01
1/21/21,39.23,44.75,37.00,43.03
1/20/21,37.37,41.19,36.06,39.12
1/19/21,41.55,45.52,36.64,39.36
1/15/21,38.49,40.75,34.01,35.50
1/14/21,38.09,43.06,33.05,39.91
1/13/21,20.42,38.65,20.03,31.40
1/12/21,19.96,20.40,19.32,19.95
1/11/21,19.41,20.65,19.01,19.94
1/8/21,18.18,18.30,17.08,17.69
1/7/21,18.47,19.45,18.02,18.08
1/6/21,17.34,18.98,17.33,18.36
1/5/21,17.35,18.08,17.23,17.37
1/4/21,19.00,19.10,17.15,17.25
12/31/20,19.25,19.80,18.80,18.84
12/30/20,19.38,20.00,18.85,19.26
12/29/20,20.82,21.07,18.56,19.38
12/28/20,21.31,21.97,20.35,20.99
12/24/20,21.01,21.48,19.95,20.15
12/23/20,20.17,22.35,19.13,20.57
12/22/20,16.22,20.04,16.15,19.46
12/21/20,15.81,16.35,15.28,15.53
12/18/20,15.78,16.30,15.18,15.63
12/17/20,13.96,14.98,13.59,14.83
12/16/20,13.96,14.31,13.58,13.85
12/15/20,12.78,14.02,12.48,13.85